Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length
"Morgan Arete","Morgan Boulder > The Pit and the Pendulum Cove > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/109064451/morgan-arete,2.7,-1,Boulder,V3,1,18
"Bicycles and Tricycles","Morgan Boulder > The Pit and the Pendulum Cove > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/109064455/bicycles-and-tricycles,3.0,-1,Boulder,V4,1,15
"Capillary Lockdown","Capillary Lockdown Boulder > The Pit and the Pendulum Cove > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/109064465/capillary-lockdown,3.0,-1,Boulder,V4,1,12
"Bush Pilot","Pit and the Pendulum Boulder > The Pit and the Pendulum Cove > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108055435/bush-pilot,3.0,-1,Boulder,V8,1,7
"Flaming Lip","Flaming Lip Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108195610/flaming-lip,1.0,-1,Boulder,V1,1,10
"Flaming Lip Traverse","Flaming Lip Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108068646/flaming-lip-traverse,2.0,-1,Boulder,V2,1,10
Gluttony,"Gluttony Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108392570/gluttony,3.9,-1,Boulder,V8,1,14
"Unnamed  V2","Black Moon Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/112008938/unnamed-v2,-1.0,-1,Boulder,V2,1,18
"Tram Pirates","Black Moon Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/112009030/tram-pirates,-1.0,-1,Boulder,V3,1,18
"Black Moon","Black Moon Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108978322/black-moon,3.6,-1,Boulder,"V3 R",1,15
"Da Way","Black Moon Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/112008893/da-way,3.0,-1,Boulder,V3,1,23
